chr left right
CDR1 chrX 139865425 139866723
LDOC1 chrX 140269934 140271310
SLITRK4 chrX 142710596 142723596
UBE2NL chrX 142967173 142968355
L29074.3 chrX 146981696 146982977
FMR1 chrX 146993469 147032645
FMR1NB chrX 147062849 147108187
AFF2 chrX 147582139 148082193
IDS chrX 148558521 148615470
AF011889.2 chrX 148593039 148607803
LINC00893 chrX 148609130 148622504
CXorf40A chrX 148621900 148632055
RP5-937E21.8 chrX 148629755 148631380
TMEM185A chrX 148678216 148713568
CXorf40B chrX 149097745 149107029
LINC00894 chrX 149106846 149392815
MAMLD1 chrX 149529689 149682448
MTM1 chrX 149737069 149841795
MTMR1 chrX 149861435 149933576
CD99L2 chrX 149934810 150067289
HMGB3 chrX 150148982 150159248
VMA21 chrX 150564987 150577836
WI2-80269A6.1 chrX 150666198 150666826
XX-FW80269A6.1 chrX 150684023 150684717
PRRG3 chrX 150863596 150874396
GABRE chrX 151121596 151143152
MAGEA10 chrX 151301782 151307033
CETN2 chrX 151995517 151999321
NSDHL chrX 151999511 152038273
ZNF185 chrX 152082986 152142024
PNMA5 chrX 152157368 152162671
PNMA3 chrX 152224766 152228827
PNMA6C chrX 152240819 152243399
PNMA6A chrX 152240839 152340864
ZNF275 chrX 152599613 152625568
ZFP92 chrX 152683780 152687087
U82695.10 chrX 152689210 152691934
TREX2 chrX 152710178 152736045
HAUS7 chrX 152713124 152760978
ATP2B3 chrX 152783134 152848397
FAM58A chrX 152853377 152865500
RP11-66N11.8 chrX 152864795 152869808
RP11-66N11.7 chrX 152876149 152878380
DUSP9 chrX 152907946 152916781
PNCK chrX 152935185 152954465
SLC6A8 chrX 152953554 152962048
BCAP31 chrX 152965947 152990152
ABCD1 chrX 152990323 153010216
U52111.14 chrX 153001080 153031933
PLXNB3 chrX 153029651 153044801
SRPK3 chrX 153041867 153051187
IDH3G chrX 153051221 153059978
SSR4 chrX 153058971 153063960
PDZD4 chrX 153067621 153096020
L1CAM chrX 153126969 153174677
LCA10 chrX 153146127 153154444
AVPR2 chrX 153167985 153172620
ARHGAP4 chrX 153172821 153200452
NAA10 chrX 153194695 153200676
RENBP chrX 153200716 153210232
HCFC1 chrX 153213004 153237258
HCFC1-AS1 chrX 153234776 153235538
TMEM187 chrX 153237778 153248646
IRAK1 chrX 153275951 153285431
MECP2 chrX 153287024 153363212
TKTL1 chrX 153524024 153558700
XX-FW83128A1.2 chrX 153562310 153563387
FLNA chrX 153576892 153603006
EMD chrX 153607557 153609883
RPL10 chrX 153618315 153637504
DNASE1L1 chrX 153629579 153640449
TAZ chrX 153639854 153650065
ATP6AP1 chrX 153656978 153664862
GDI1 chrX 153665266 153671814
FAM50A chrX 153672473 153679002
PLXNA3 chrX 153686621 153701989
LAGE3 chrX 153706028 153707596
UBL4A chrX 153712056 153715009
SLC10A3 chrX 153715645 153719016
FAM3A chrX 153733350 153744566
G6PD chrX 153759606 153775787
IKBKG chrX 153769414 153796782
CTAG2 chrX 153880246 153881853
GAB3 chrX 153903529 153979858
DKC1 chrX 153991031 154005964
MPP1 chrX 154006959 154049282
SMIM9 chrX 154051623 154062937
F8 chrX 154064063 154255215
H2AFB1 chrX 154113317 154113833
F8A1 chrX 154114635 154116335
FUNDC2 chrX 154254255 154288578
MTCP1 chrX 154289897 154376212
CMC4 chrX 154289897 154299637
BRCC3 chrX 154299695 154351349
VBP1 chrX 154425284 154468098
RAB39B chrX 154487526 154493874
CLIC2 chrX 154505500 154563966
RP13-228J13.1 chrX 154564167 154581271
F8A2 chrX 154611749 154613449
TMLHE-AS1 chrX 154695631 154841277
RP11-218L14.4 chrX 154697947 154716707
TMLHE chrX 154719776 154899605
SPRY3 chrX 154997474 155012121
VAMP7 chrX 155110956 155173433
IL9R chrX 155227246 155240482
WASIR1 chrX 155244288 155246502
RP11-585F1.10 chr8 142091 150563
ZNF596 chr8 182137 197342
RP5-855D21.1 chr8 184347 184887
RP5-855D21.2 chr8 187045 187669
FAM87A chr8 325931 333174
FBXO25 chr8 356428 421225
RP11-91J19.4 chr8 424455 427966
TDRP chr8 439803 495781
ERICH1 chr8 564746 688106
ERICH1-AS1 chr8 687651 1087777
AF067845.1 chr8 1316808 1317999
DLGAP2 chr8 1449532 1656642
RP11-666I19.2 chr8 1513675 1570583
CLN8 chr8 1703944 1734738
CTD-2336O2.1 chr8 1710156 1712668
ARHGEF10 chr8 1772142 1906807
KBTBD11-OT1 chr8 1919563 1924644
RP11-439C15.4 chr8 1920736 1922803
KBTBD11 chr8 1922044 1955102
RP11-439C15.5 chr8 1922984 1923480
MYOM2 chr8 1993155 2113475
RP11-378A12.1 chr8 2447076 2480453
RP11-134O21.1 chr8 2523591 2585991
GS1-57L11.1 chr8 2584858 2680004
CSMD1 chr8 2792875 4852494
RP11-115C21.2 chr8 6261072 6264663
MCPH1 chr8 6264113 6501144
ANGPT2 chr8 6357172 6420930
CTD-2541M15.3 chr8 6473125 6474719
CTD-2541M15.1 chr8 6475996 6565730
CTD-2541M15.4 chr8 6503576 6506025
AGPAT5 chr8 6565878 6617184
GS1-24F4.2 chr8 6693076 6742798
DEFB1 chr8 6728097 6735544
GS1-24F4.3 chr8 6786130 6787995
DEFA3 chr8 6873391 6875823
FAM66B chr8 7159133 7212876
ZNF705G chr8 7213039 7243080
ZNF705B chr8 7783859 7812271
FAM66E chr8 7812536 7866277
FAM85B chr8 8025341 8084136
SGK223 chr8 8175258 8244008
CTA-398F10.1 chr8 8272200 8282142
CTA-398F10.2 chr8 8314419 8318847
CTD-3023L14.1 chr8 8417404 8419634
CLDN23 chr8 8559448 8561616
RP11-211C9.1 chr8 8581203 8639989
MFHAS1 chr8 8640864 8751155
ERI1 chr8 8859657 8974256
PPP1R3B chr8 8993765 9009084
RP11-10A14.3 chr8 8998934 9002945
RP11-10A14.4 chr8 9009252 9025646
RP11-10A14.6 chr8 9037761 9040029
RP11-10A14.5 chr8 9046521 9060364
RP11-375N15.2 chr8 9412656 9414030
TNKS chr8 9413424 9639856
LINC00599 chr8 9757574 9762876
RP11-1E4.1 chr8 9907995 9911764
MSRA chr8 9911778 10286401
RP11-981G7.2 chr8 10332075 10339484
RP11-981G7.3 chr8 10335001 10336885
PRSS51 chr8 10340388 10405095
RP11-981G7.6 chr8 10344317 10347176
PRSS55 chr8 10383056 10411676
RP1L1 chr8 10463859 10569697
C8orf74 chr8 10530147 10558103
SOX7 chr8 10581278 10697357
CTD-2135J3.3 chr8 10586824 10628902
PINX1 chr8 10622473 10697394
RP11-177H2.2 chr8 10698086 10704011
XKR6 chr8 10753555 11058875
AF131215.6 chr8 10920157 10924599
AF131215.5 chr8 10983980 10987745
AF131215.8 chr8 11060474 11061180
MTMR9 chr8 11141925 11185646
AF131216.6 chr8 11173374 11182938
SLC35G5 chr8 11188397 11189717
AF131216.5 chr8 11203257 11205011
FAM167A chr8 11278972 11332224
BLK chr8 11351510 11422113
RP11-148O21.6 chr8 11409997 11410500
RP11-148O21.4 chr8 11413760 11415531
RP11-148O21.2 chr8 11415975 11417529
LINC00208 chr8 11433822 11438851
NEIL2 chr8 11627148 11644855
FDFT1 chr8 11653082 11696818
RP11-297N6.4 chr8 11655437 11660077
CTSB chr8 11700033 11726957
RP11-481A20.11 chr8 11870545 11873043
FAM66D chr8 11973291 12008698
FAM86B1 chr8 12039605 12051642
FAM85A chr8 12051976 12053789
LINC00965 chr8 12270336 12271882
FAM86B2 chr8 12282913 12293915
RP11-419I17.1 chr8 12333971 12334631
LONRF1 chr8 12579403 12613582
RP11-252C15.1 chr8 12623358 12668987
KIAA1456 chr8 12803151 12889012
DLC1 chr8 12940870 13373167
RP11-10C8.2 chr8 13196083 13200263
C8orf48 chr8 13424352 13425796
SGCZ chr8 13947373 15095848
TUSC3 chr8 15274724 15624158
MSR1 chr8 15965387 16424999
FGF20 chr8 16849678 16859690
MICU3 chr8 16884747 16980153
RP11-468H14.2 chr8 16988690 17007298
ZDHHC2 chr8 17013538 17082308
RP11-242F4.2 chr8 17082473 17082978
CNOT7 chr8 17086737 17104387
VPS37A chr8 17104080 17159936
MTMR7 chr8 17155539 17271037
SLC7A2 chr8 17354597 17428082
PDGFRL chr8 17433942 17501580
MTUS1 chr8 17501304 17658426
RP11-156K13.1 chr8 17658854 17718578
RP11-156K13.3 chr8 17763265 17765396
PCM1 chr8 17780349 17885478
ASAH1 chr8 17913934 17942494
CTD-2547L16.1 chr8 17942377 17953903
NAT1 chr8 18027986 18081198
NAT2 chr8 18248755 18258728
PSD3 chr8 18384811 18942240
RP11-161I2.1 chr8 18578415 18591915
SH2D4A chr8 19171128 19253729
CSGALNACT1 chr8 19261672 19615540
RP11-1105O14.1 chr8 19536083 19546445
INTS10 chr8 19674651 19709594
LPL chr8 19759228 19824769
SLC18A1 chr8 20002366 20040717
ATP6V1B2 chr8 20054878 20084330
LZTS1 chr8 20103676 20161474
LZTS1-AS1 chr8 20133284 20147969
RP11-369E15.3 chr8 20810156 20831388
GFRA2 chr8 21547915 21669869
DOK2 chr8 21766384 21771371
XPO7 chr8 21777180 21864096
NPM2 chr8 21881636 21894408
FGF17 chr8 21899909 21906320
DMTN chr8 21906506 21940038
FAM160B2 chr8 21946670 21962409
NUDT18 chr8 21964383 21966932
HR chr8 21971928 21990897
REEP4 chr8 21995533 21999464
BMP1 chr8 22022249 22069839
PHYHIP chr8 22077222 22089854
POLR3D chr8 22102617 22112113
CTD-2530N21.4 chr8 22112089 22132675
PIWIL2 chr8 22132810 22215076
SLC39A14 chr8 22224762 22291642
PPP3CC chr8 22298332 22398652
RP11-582J16.4 chr8 22398358 22402918
SORBS3 chr8 22402499 22433301
RP11-582J16.3 chr8 22423510 22424684
PDLIM2 chr8 22435792 22455538
AC037459.4 chr8 22446787 22459597
C8orf58 chr8 22457114 22461663
CCAR2 chr8 22462145 22479027
RP11-582J16.5 chr8 22471421 22474170
BIN3 chr8 22477931 22526661
EGR3 chr8 22545172 22550815
PEBP4 chr8 22570769 22857513
RP11-875O11.1 chr8 22842109 22876848
RHOBTB2 chr8 22844930 22877712
TNFRSF10B chr8 22877646 22926692
RP11-875O11.2 chr8 22925742 22941132
RP11-875O11.3 chr8 22928890 22932001
TNFRSF10C chr8 22941868 22974950
TNFRSF10D chr8 22993101 23021543
RP11-1149O23.2 chr8 23046792 23048188
TNFRSF10A chr8 23047965 23082639
RP11-1149O23.4 chr8 23082746 23088428
CHMP7 chr8 23101150 23119512
R3HCC1 chr8 23127633 23153792
LOXL2 chr8 23154702 23282841
ENTPD4 chr8 23243296 23315208
CTC-756D1.2 chr8 23316114 23342484
SLC25A37 chr8 23386318 23432976
NKX3-1 chr8 23536206 23540440
STC1 chr8 23699428 23712320
RP11-203E8.1 chr8 24027470 24034593
ADAM28 chr8 24151553 24216531
RP11-624C23.1 chr8 24153327 24769586
ADAMDEC1 chr8 24241798 24263526
RP11-561E1.1 chr8 24347825 24372342
GS1-72M22.1 chr8 24769678 24772230
NEFM chr8 24770525 24776607
CTD-2168K21.2 chr8 24814135 24814624
DOCK5 chr8 25042238 25275598
GNRH1 chr8 25276776 25282170
RP11-395I14.2 chr8 25283037 25284096
KCTD9 chr8 25285366 25315992
CDCA2 chr8 25316513 25365436
EBF2 chr8 25699246 25902913
PPP2R2A chr8 26149007 26230196
BNIP3L chr8 26240414 26363152
PNMA2 chr8 26362202 26371608
DPYSL2 chr8 26371791 26515694
ADRA1A chr8 26605667 26724790
STMN4 chr8 27092840 27115937
TRIM35 chr8 27142404 27168836
PTK2B chr8 27168999 27316903
CHRNA2 chr8 27317279 27337400
EPHX2 chr8 27348296 27403081
CLU chr8 27454434 27472548
SCARA3 chr8 27491385 27534293
CCDC25 chr8 27590835 27630170
RP11-16P20.3 chr8 27590855 27613943
ESCO2 chr8 27629466 27670157
PBK chr8 27667137 27695612
SCARA5 chr8 27727399 27850244
NUGGC chr8 27879481 27941388
ELP3 chr8 27947190 28048673
RP11-380I10.4 chr8 28107580 28196772
PNOC chr8 28174503 28200872
ZNF395 chr8 28203102 28260218
FBXO16 chr8 28205804 28347835
RP11-181B11.2 chr8 28304781 28313419
FZD3 chr8 28351729 28431775
EXTL3 chr8 28457986 28613116
EXTL3-AS1 chr8 28553718 28558981
INTS9 chr8 28625178 28747759
RP11-662B19.2 chr8 28655659 28656986
HMBOX1 chr8 28747911 28922281
CTD-2647L4.5 chr8 28924796 28925971
KIF13B chr8 28924796 29120641
CTD-2647L4.1 chr8 28968090 28998246
DUSP4 chr8 29190581 29208185
RP11-486M23.1 chr8 29384829 29387840
AC145110.1 chr8 29605825 29656008
RP11-489E7.1 chr8 29763251 29766472
TMEM66 chr8 29920528 29940723
RP11-489E7.4 chr8 29940274 29940983
LEPROTL1 chr8 29952914 30034724
MBOAT4 chr8 29989340 30002202
RP11-51J9.5 chr8 30013346 30013748
DCTN6 chr8 30013813 30041156
RP11-51J9.4 chr8 30034070 30038404
RP11-51J9.6 chr8 30054920 30055564
RBPMS-AS1 chr8 30239635 30242917
RBPMS chr8 30241944 30429778
GTF2E2 chr8 30435835 30515768
CTD-2373N4.5 chr8 30454431 30455049
SMIM18 chr8 30496117 30503581
GSR chr8 30535583 30585443
PPP2CB chr8 30631973 30671830
TEX15 chr8 30689060 30748122
PURG chr8 30853321 30891231
WRN chr8 30891317 31031285
NRG1 chr8 31496902 32622548
RP11-1002K11.1 chr8 32623643 32625477
RP11-11N9.4 chr8 32853696 32902373
RP11-722E23.2 chr8 33218361 33218933
FUT10 chr8 33228342 33330940
TTI2 chr8 33330904 33371119
MAK16 chr8 33342268 33358778
RNF122 chr8 33405273 33424643
DUSP26 chr8 33448856 33457624
RP11-317N12.1 chr8 33462374 33896526
UNC5D chr8 35092975 35654068
RP11-527N22.1 chr8 37188190 37189502
RP11-150O12.3 chr8 37454998 37457376
RP11-346L1.2 chr8 37483533 37531905
ZNF703 chr8 37553269 37557537
RP11-863K10.2 chr8 37575097 37591274
RP11-863K10.7 chr8 37592279 37594944
ERLIN2 chr8 37594117 37616619
PROSC chr8 37620111 37637283
GPR124 chr8 37641709 37702414
BRF2 chr8 37700786 37707422
RAB11FIP1 chr8 37716136 37756985
EIF4EBP1 chr8 37887859 37917883
ASH2L chr8 37962760 38001594
RP11-90P5.5 chr8 37980792 37982169
STAR chr8 38001167 38008783
RP11-90P5.2 chr8 38006259 38021290
LSM1 chr8 38020839 38034248
BAG4 chr8 38034051 38070819
DDHD2 chr8 38082736 38133076
PPAPDC1B chr8 38120648 38126761
WHSC1L1 chr8 38127215 38239790
RP11-513D5.5 chr8 38133406 38134198
RP11-513D5.2 chr8 38193499 38195069
RP11-350N15.5 chr8 38239882 38240979
LETM2 chr8 38243725 38267045
RP11-350N15.3 chr8 38258054 38259201
RP11-350N15.6 chr8 38265566 38266260
FGFR1 chr8 38268656 38326352
RP11-350N15.4 chr8 38279407 38283614
C8orf86 chr8 38368352 38386180
TACC1 chr8 38585704 38710546
RP11-723D22.3 chr8 38702384 38703957
PLEKHA2 chr8 38758753 38831428
CTD-2544N14.3 chr8 38827879 38830530
HTRA4 chr8 38831683 38846181
TM2D2 chr8 38846327 38854343
ADAM9 chr8 38854388 38962663
ADAM32 chr8 38964509 39142430
IDO1 chr8 39759794 39785963
RP11-44K6.4 chr8 39775595 39778409
IDO2 chr8 39792133 39873910
RP11-301G7.1 chr8 40377084 40377677
ZMAT4 chr8 40388109 40755352
SFRP1 chr8 41119481 41167016
GOLGA7 chr8 41347915 41368499
GINS4 chr8 41386725 41402565
RP11-360L9.4 chr8 41391674 41435887
RP11-360L9.7 chr8 41397900 41402563
AGPAT6 chr8 41434706 41482520
RP11-360L9.8 chr8 41467211 41479021
NKX6-3 chr8 41502697 41508855
ANK1 chr8 41510739 41754280
RP11-930P14.1 chr8 41518509 41523084
RP11-930P14.2 chr8 41685683 41687452
KAT6A chr8 41786997 41909508
RP11-589C21.6 chr8 41996979 41997270
RP11-589C21.5 chr8 42009290 42010281
AP3M2 chr8 42010464 42029191
PLAT chr8 42032236 42065242
RP11-231D20.2 chr8 42091193 42128715
IKBKB chr8 42128820 42189973
POLB chr8 42195972 42229326
DKK4 chr8 42231586 42234750
VDAC3 chr8 42249142 42263415
SLC20A2 chr8 42273993 42397069
RP11-503E24.2 chr8 42392672 42393447
SMIM19 chr8 42396298 42409603
RP11-503E24.3 chr8 42409933 42410336
CHRNB3 chr8 42552519 42592550
RP11-412B14.1 chr8 42560726 42577089
CHRNA6 chr8 42607763 42651535
THAP1 chr8 42691817 42698468
RNF170 chr8 42704780 42752433
HOOK3 chr8 42752075 42885682
FNTA chr8 42889337 42940931
POMK chr8 42948658 42978577
HGSNAT chr8 42995556 43057998
RP11-1134I14.8 chr8 48102395 48104885
SPIDR chr8 48173167 48648868
CEBPD chr8 48649471 48651648
PRKDC chr8 48685669 48872743
MCM4 chr8 48872745 48890720
UBE2V2 chr8 48920960 48977268
RP11-567J20.3 chr8 49428412 49429649
EFCAB1 chr8 49623348 49647870
RP11-401H2.1 chr8 52170248 52233678
PXDNL chr8 52232138 52722005
RP11-11C20.3 chr8 52722670 52723241
PCMTD1 chr8 52730140 52811735
AC090186.1 chr8 52730143 52730969
RP11-110G21.1 chr8 52811885 52859733
RP11-546K22.3 chr8 52862844 52863250
RP11-546K22.1 chr8 52874018 52935534
ST18 chr8 53023399 53373519
RP11-26M5.3 chr8 53063380 53067452
RP11-1023P17.2 chr8 53207015 53214502
FAM150A chr8 53446597 53478067
RB1CC1 chr8 53535016 53658403
OPRK1 chr8 54138284 54164257
ATP6V1H chr8 54628117 54756118
RGS20 chr8 54764368 54871863
TCEA1 chr8 54879112 54935089
RP11-30L15.6 chr8 54955549 54958189
LYPLA1 chr8 54958938 55014577
MRPL15 chr8 55047770 55060461
XKR4 chr8 56014949 56454613
TMEM68 chr8 56608983 56685966
TGS1 chr8 56685701 56738007
LYN chr8 56792372 56923940
RP11-446E9.2 chr8 56926046 56926727
RPS20 chr8 56979854 56987069
CTA-397H3.3 chr8 56987151 56987833
MOS chr8 57025501 57026541
PLAG1 chr8 57073463 57123883
CHCHD7 chr8 57124245 57131357
RP11-140I16.3 chr8 57135247 57135732
SDR16C5 chr8 57212569 57233335
PENK chr8 57349233 57359293
RP11-17A4.2 chr8 57358366 57464626
LINC00968 chr8 57408805 57472382
RP11-17A4.3 chr8 57449317 57453056
IMPAD1 chr8 57870492 57906403
RP11-513O17.2 chr8 58055248 58152857
RP11-513O17.3 chr8 58173785 58179172
CTD-2339F6.1 chr8 58658708 58662758
RP11-1112C15.1 chr8 58890917 58896685
FAM110B chr8 58907068 59116838
UBXN2B chr8 59323823 59364060
SDCBP chr8 59465483 59495419
NSMAF chr8 59496063 59572403
TOX chr8 59717977 60031767
RP11-25K19.1 chr8 60031599 60033905
RP11-27P7.1 chr8 60962146 60987274
CA8 chr8 61099906 61193971
RP11-163N6.2 chr8 61297147 61429354
RAB2A chr8 61429416 61536186
RP11-91I20.4 chr8 61464516 61465595
RP11-91I20.3 chr8 61544068 61548830
RP11-91I20.2 chr8 61565061 61566120
RP11-91I20.1 chr8 61573379 61577089
CHD7 chr8 61591337 61779465
RP11-33I11.2 chr8 61721294 61722165
AC022182.1 chr8 61822612 61879116
AC022182.3 chr8 61878361 61880334
CLVS1 chr8 61969717 62414204
ASPH chr8 62413116 62627155
RP11-280G9.1 chr8 62671653 62678528
RP11-705O24.1 chr8 62697606 62856739
NKAIN3 chr8 63161150 63912211
RP11-659E9.2 chr8 63925627 63927240
GGH chr8 63927638 63951730
YTHDF3-AS1 chr8 64080284 64081001
YTHDF3 chr8 64081112 64125346
RP11-16E18.3 chr8 64128539 64130592
RP11-45K10.2 chr8 64378407 64388040
RP11-32K4.1 chr8 64599737 65281115
RP11-579E24.1 chr8 64681988 64698058
BHLHE22 chr8 65492814 65496181
CYP7B1 chr8 65500320 65711318
CTD-3025N20.2 chr8 66439243 66475015
CTD-3025N20.3 chr8 66504085 66504707
ARMC1 chr8 66514694 66546442
MTFR1 chr8 66556969 66683496
RP11-707M3.3 chr8 66626569 66627013
PDE7A chr8 66629745 66754557
CTD-2532N20.1 chr8 66754987 66755566
DNAJC5B chr8 66933795 67012751
AC084082.3 chr8 67024902 67027440
TRIM55 chr8 67039131 67087720
RP11-346I3.4 chr8 67331824 67341212
RRS1 chr8 67341263 67342966
ADHFE1 chr8 67342420 67383836
C8orf46 chr8 67372238 67430759
MYBL1 chr8 67474410 67526482
VCPIP1 chr8 67540722 67579452
C8orf44-SGK3 chr8 67579831 67772707
C8orf44 chr8 67579850 67597799
SGK3 chr8 67624653 67774257
MCMDC2 chr8 67782984 67834283
PPP1R42 chr8 67876334 67968839
COPS5 chr8 67955314 67996018
CSPP1 chr8 67974661 68108498
ARFGEF1 chr8 68085747 68255912
RP11-7F18.2 chr8 68256210 68257322
CPA6 chr8 68334360 68658620
PREX2 chr8 68864353 69149265
C8orf34 chr8 69242957 69731257
RP11-865I6.2 chr8 69760977 69764998
SLCO5A1 chr8 70579282 70747299
RP11-159H10.3 chr8 70746346 70767206
PRDM14 chr8 70963886 70983928
NCOA2 chr8 71021997 71316040
RP11-333A23.4 chr8 71383369 71397922
TRAM1 chr8 71485677 71520622
AC120194.1 chr8 71485681 71486671
RP11-382J12.1 chr8 71520812 71575514
LACTB2 chr8 71547553 71581409
XKR9 chr8 71581600 71702606
RP11-326E22.1 chr8 72067692 72116458
RP11-1102P16.1 chr8 72315675 72504260
RP11-383H13.1 chr8 72740402 73030628
MSC chr8 72753784 72756703
TRPA1 chr8 72932152 72987852
RP11-142A23.1 chr8 73108569 73114504
TERF1 chr8 73921099 73960357
RP11-531A24.5 chr8 73964413 73975296
SBSPON chr8 73976775 74036323
RPL7 chr8 74202506 74208024
RDH10 chr8 74206847 74237516
STAU2-AS1 chr8 74332239 74353761
STAU2 chr8 74332604 74659943
RP11-463D19.1 chr8 74582676 74645132
RP11-463D19.2 chr8 74600926 74791089
UBE2W chr8 74692332 74791145
TCEB1 chr8 74851404 74884522
TMEM70 chr8 74884672 74895018
LY96 chr8 74903587 74941322
RP11-6I2.3 chr8 74964575 75012088
RP1-16A9.1 chr8 75111631 75120676
GDAP1 chr8 75233365 75401107
CTD-2320G14.2 chr8 75259992 75262285
RP11-758M4.1 chr8 75512010 75735548
RP11-758M4.4 chr8 75711019 75779174
PI15 chr8 75736772 75767264
CRISPLD1 chr8 75896750 75946793
RP11-697M17.2 chr8 76079939 76088891
CASC9 chr8 76135639 76236976
LINC01111 chr8 77318889 77436591
ZFHX4 chr8 77593454 77779521
PEX2 chr8 77892494 77913280
RP11-594N15.2 chr8 79338338 79470738
PKIA chr8 79428374 79517502
ZC2HC1A chr8 79578282 79632000
IL7 chr8 79587978 79717758
RP11-79H23.3 chr8 79749764 79752757
STMN2 chr8 80523049 80578410
HEY1 chr8 80676245 80680098
RP11-27N21.3 chr8 80680377 80715077
RP11-26J3.1 chr8 80681607 80783994
MRPS28 chr8 80830952 80942524
TPD52 chr8 80870571 81143467
RP11-92K15.3 chr8 80944959 80945535
RP11-92K15.1 chr8 81035087 81039905
ZBTB10 chr8 81397854 81438500
RP11-48B3.3 chr8 81447241 81451370
RP11-48B3.4 chr8 81453535 81455339
ZNF704 chr8 81540686 81787016
PAG1 chr8 81880045 82024303
RP11-172E10.1 chr8 81949199 81953066
RP11-1149M10.1 chr8 81970758 81979979
RP11-1149M10.2 chr8 82066514 82076834
RP11-363E6.4 chr8 82187634 82189805
RP11-363E6.3 chr8 82192106 82193681
FABP5 chr8 82192598 82197012
IMPA1 chr8 82570196 82598928
SLC10A5 chr8 82605842 82608409
ZFAND1 chr8 82613569 82645138
CHMP4C chr8 82644669 82671750
RP13-923O23.6 chr8 82704058 82727949
SNX16 chr8 82711816 82755101
RP11-51M18.1 chr8 84315993 84321135
RP11-120I21.2 chr8 84824948 85052518
LRRCC1 chr8 86019382 86058311
RP11-219B4.7 chr8 86084312 86089297
E2F5 chr8 86089460 86129387
RP11-219B4.3 chr8 86089757 86090385
C8orf59 chr8 86126311 86132650
CA13 chr8 86132816 86196302
RP11-219B4.5 chr8 86134675 86157946
CA1 chr8 86239837 86291243
CA3 chr8 86285665 86361269
RP11-317J10.2 chr8 86354080 86377144
CA2 chr8 86376081 86393722
REXO1L1P chr8 86568695 86575726
CTA-392E5.1 chr8 86851934 86963312
ATP6V0D2 chr8 86999552 87166457
WWP1 chr8 87354967 87490649
RMDN1 chr8 87480486 87526586
CPNE3 chr8 87497059 87573726
CNGB3 chr8 87566205 87755903
AF121898.3 chr8 88554214 88767946
MMP16 chr8 89044237 89340254
RP11-586K2.1 chr8 89339065 89749363
RP11-642C5.1 chr8 89820547 89821137
RP11-37B2.1 chr8 90621638 90769955
RIPK2 chr8 90769975 90803291
OSGIN2 chr8 90914087 90940116
NBN chr8 90945564 91015456
DECR1 chr8 91013633 91064320
CALB1 chr8 91070836 91107703
LINC00534 chr8 91233716 91581546
LINC01030 chr8 91605032 91618293
TMEM64 chr8 91634223 91803860
RP11-68L18.1 chr8 91658669 91668826
NECAB1 chr8 91803778 91971636
RP11-662G23.1 chr8 91818702 91871468
C8orf88 chr8 91970865 91997485
TMEM55A chr8 92006024 92053292
GS1-251I9.4 chr8 92072137 92082417
OTUD6B chr8 92082424 92099323
LRRC69 chr8 92114060 92231464
SLC26A7 chr8 92221722 92410378
RUNX1T1 chr8 92967203 93115514
RP11-100L22.1 chr8 93681064 93691822
CTD-3239E11.2 chr8 93895212 93977873
TRIQK chr8 93895758 94029901
AC117834.1 chr8 93895865 93898013
LINC00535 chr8 94225531 94712661
FAM92A1 chr8 94710789 94743755
CTD-2006H14.2 chr8 94727606 94728341
RP11-10N23.2 chr8 94731802 94733395
RBM12B chr8 94741584 94753245
RP11-10N23.4 chr8 94745444 94746250
RBM12B-AS1 chr8 94752349 94753001
RP11-10N23.5 chr8 94753421 94756762
TMEM67 chr8 94767072 94831462
PDP1 chr8 94870035 94938294
MIR378D2 chr8 94927962 94928910
CDH17 chr8 95139399 95229531
GEM chr8 95261481 95274578
RAD54B chr8 95384188 95487337
FSBP chr8 95390605 95449180
KIAA1429 chr8 95499921 95565757
RP11-267M23.3 chr8 95545856 95546619
AC023632.1 chr8 95558771 95560630
RP11-267M23.4 chr8 95565950 95581973
RP11-22C11.2 chr8 95649513 95651695
ESRP1 chr8 95653302 95719694
DPY19L4 chr8 95731931 95806064
KB-1608C10.2 chr8 95803871 95805334
INTS8 chr8 95825539 95893974
CCNE2 chr8 95891998 95908906
RP11-347C18.5 chr8 95896837 95897298
NDUFAF6 chr8 95907995 96128683
TP53INP1 chr8 95938200 95961639
MIR3150A chr8 96079036 96085410
RP11-320N21.2 chr8 96083960 96100152
PLEKHF2 chr8 96146032 96168912
KB-1047C11.2 chr8 96216684 96822364
C8orf37 chr8 96257147 96281429
RP11-90D11.1 chr8 96517634 96539752
GDF6 chr8 97154562 97173020
UQCRB chr8 97238148 97247862
KB-1043D8.6 chr8 97247655 97250262
MTERFD1 chr8 97251626 97273838
PTDSS1 chr8 97273943 97349223
SDC2 chr8 97505579 97624000
CPQ chr8 97657455 98161882
KB-1958F4.2 chr8 98145063 98145607
TSPYL5 chr8 98285717 98290176
MTDH chr8 98656407 98740998
LAPTM4B chr8 98787285 98865241
MATN2 chr8 98881068 99048944
RPL30 chr8 99037079 99058697
KB-1208A12.3 chr8 99053954 99056349
C8orf47 chr8 99076539 99105838
HRSP12 chr8 99114572 99129469
POP1 chr8 99129525 99172062
NIPAL2 chr8 99202061 99306621
STK3 chr8 99413631 99955055
OSR2 chr8 99956631 99964332
RP11-44N12.2 chr8 99973656 99980512
RP11-410L14.2 chr8 100008991 100025272
VPS13B chr8 100025494 100889808
RP11-402L5.1 chr8 100808843 100811415
COX6C chr8 100885428 100906290
